name,img,points
北京二八酱,https://i2.chuimg.com/0d66d20c99ff4b5cba2c343f1edd952b_1280w_2275h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
烀饼：北京大娘的鸡蛋披萨,https://i2.chuimg.com/2b6564f6f2e748bcba8051d9c3d4f031_1280w_720h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.4
老北京糖火烧,https://i2.chuimg.com/07cc981ec46842af8f8b7a6f32362383_1600w_1066h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.7
北京麻酱烧饼,https://i2.chuimg.com/45bd71e299734722a0783ff4e27408d2_810w_1080h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.5
北京古北水镇,https://i2.chuimg.com/253e221d88d743d8b6622e0347a45315_1920w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京炸酱,https://i2.chuimg.com/2b45b0aec576486fbc005efc8478e8f8_1280w_960h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.6
老北京千层肉饼,https://i2.chuimg.com/b7032e0e138b4a6eb44c803c52f7164e_2510w_2008h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.9
老北京宫廷小吃：免煮免炒快手,https://i2.chuimg.com/588e5dea0ecc4d67b1cabbddc3756183_2546w_2037h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.4
老北京肉皮冻,https://i2.chuimg.com/c604c0c521454b4282247a636f7d5752_1224w_1632h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.7
北京小菜馆48一份凉拌椒麻贡菜,https://i2.chuimg.com/0c9521c835c84c4ba7ce4cdfb65c95b0_3414w_2560h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京扁豆焖面【健康家常菜】,https://i2.chuimg.com/c29a6413ecaf44538ae2f21c2b16803d_1280w_1023h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,7.8
酱汁浓郁无敌诱人老北京炸酱面,https://i2.chuimg.com/4d3faf245f3a4a29b5c7e2e42046b5af_1534w_2046h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.6
北京小拌菜,https://i2.chuimg.com/e07346f21b374415a2f73a7b3ebf3215_750w_750h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
北京烤鸭家庭版,https://i2.chuimg.com/b994e15a9c6e4887a21b9ff0aef10bde_838w_1280h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,0
老北京炸酱面（家庭版制作🏡经典老味道🤓🤓）,https://i2.chuimg.com/77049babf8cb4965801209a246a8fcfa_744w_844h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.7
老北京椒盐麻酱烧饼,https://i2.chuimg.com/f47b04ca36364e9eb2b6bcaa34c6bdc3_2160w_2880h.jpg?imageView2/1/w/215/h/136/interlace/1/q/75,8.8
