flight_company,plane,start_time,end_time,total_time,From,To,food,cost,tp
海航旗下天津航空GS7666,空客A320(中),06:55,08:30,1h35m,江北机场T3,咸阳机场T2,无餐食,¥310,2.1折经济舱
华夏航空G543S1N,JET(小),07:25,12:55,5h30m,江北机场T2,咸阳机场T3,无餐食,¥762,2.2折经济舱
华夏航空G545T5H,JET(小),10:00,19:30,9h30m,江北机场T2,咸阳机场T2,无餐食,¥960,2.7折经济舱
东方航空MU2262,空客A320-300(中),10:25,11:45,1h20m,江北机场T3,咸阳机场T3,无餐食,¥646,4.4折经济舱
华夏航空G59255N,JET(小),13:45,09:35,19h50m,江北机场T2,咸阳机场T3,无餐食,¥300,0.9折经济舱
华夏航空G515C3M,JET(小),15:50,10:40,18h50m,江北机场T2,咸阳机场T3,无餐食,¥510,1.5折经济舱
华夏航空G59314W,JET(小),19:40,16:25,20h45m,江北机场T3,咸阳机场T3,无餐食,¥980,2.8折经济舱
东方航空MU2268,空客A321-200(中),21:35,22:50,1h15m,江北机场T3,咸阳机场T3,无餐食,¥359,2.5折经济舱
海航旗下长安航空9H8334,波音737-800(中),22:10,23:40,1h30m,江北机场T2,咸阳机场T2,无餐食,¥260,特惠经济舱
