flight_company,plane,start_time,end_time,total_time,From,To,food,cost,tp
海航旗下首都航空JD5922,空客A320(中),20:40,23:40,3h0m,白云机场T1,大兴机场,无餐食,¥460,1.9折经济舱
南方航空CZ3107,空客A320(中),21:00,00:05,3h5m,白云机场T2,大兴机场,有小食,¥550,1.8折经济舱
海南航空HU7816,波音737-800(中),21:00,00:10,3h10m,白云机场T1,首都机场T2,点心餐,¥800,2.7折经济舱
厦门航空MF8340,波音737-800(中),21:15,00:10,2h55m,白云机场T2,大兴机场,有小食,¥760,3折经济舱
东方航空MU6310,空客A330(大),21:20,00:10,2h50m,白云机场T1,大兴机场,无餐食,¥602,2折经济舱
南方航空CZ3165,32Q(中),22:00,00:55,2h55m,白云机场T2,大兴机场,有小食,¥550,1.8折经济舱
东方航空MU6312,空客A321(中),22:00,00:55,2h55m,白云机场T1,大兴机场,无餐食,¥900,3折经济舱
