flight_company,plane,start_time,end_time,total_time,From,To,food,cost,tp
中国国际航空CA1386,空客321(中),06:25,09:45,3h20m,白云机场T1,首都机场T3,有早餐,¥900,2.7折经济舱
深圳航空ZH9123,73F(中),07:20,10:30,3h10m,白云机场T1,首都机场T3,有餐食,¥820,2.3折经济舱
东方航空MU6302,B737-800(中),07:55,10:55,3h0m,白云机场T1,大兴机场,有早餐,¥970,3.2折经济舱
海南航空HU7802,波音787-8(大),08:00,11:10,3h10m,白云机场T1,首都机场T2,有早餐,¥900,3折经济舱
南方航空CZ3101,波音787-8(大),08:00,11:00,3h0m,白云机场T2,大兴机场,有小食,¥970,3.2折经济舱
中国国际航空CA1310,空客330(大),08:05,11:00,2h55m,白云机场T1,首都机场T3,有早餐,¥1000,3折经济舱
南方航空CZ3099,77C(中),09:00,11:55,2h55m,白云机场T2,大兴机场,有正餐,¥1090,3.6折经济舱
海南航空HU7804,空客A330-200(大),09:15,12:15,3h0m,白云机场T1,首都机场T2,有午餐,¥1030,3.4折经济舱
中国国际航空CA1380,波音777-300(大),09:30,12:25,2h55m,白云机场T1,首都机场T3,有小食,¥1450,4.4折经济舱
中国国际航空CA8646,波音737-800(中),09:40,13:00,3h20m,白云机场T1,大兴机场,有小食,¥1000,3折经济舱
